Timestamp,EpochSeconds,depth,VerticalControl.depthCmd,platform_propeller_rotation_rate,SpeedControl.propOmegaAction,platform_buoyancy_position,VerticalControl.buoyancyAction,platform_mass_position,VerticalControl.massPositionAction,platform_elevator_angle,VerticalControl.elevatorAngleAction,platform_pitch_angle,platform_rudder_angle,HorizontalControl.rudderAngleAction
2021-08-11T02:16:05.432Z,1628648165.432,0.000000 m,nan,0.000000 rad/s,0.000000 rad/s,nan,499.993561 cc,0.000000 m,0.000000 m,0.000000 arcdeg,nan,-0.055844 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:16:05.833Z,1628648165.833,0.000018 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,nan,499.993561 cc,0.000000 m,0.000000 m,0.000000 arcdeg,0.000000 arcdeg,-0.160779 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:16:06.234Z,1628648166.234,0.000138 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,nan,499.993561 cc,0.000000 m,0.000000 m,0.000000 arcdeg,0.000000 arcdeg,-0.313623 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:16:06.635Z,1628648166.635,0.000297 m,10.000000 m,-0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,-0.507110 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:16:07.037Z,1628648167.037,0.000458 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,-0.736001 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:16:07.438Z,1628648167.438,0.000616 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,-0.992340 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:16:07.839Z,1628648167.839,0.000774 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.978668 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,-1.269744 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:16:08.240Z,1628648168.240,0.000932 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.963745 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,-1.563307 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:16:08.641Z,1628648168.641,0.001091 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.948853 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,-1.863539 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:16:09.041Z,1628648169.041,0.001248 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.919067 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,-2.167904 arcdeg,0.000000 arcdeg,0.000000 arcdeg
