Timestamp,EpochSeconds,depth,VerticalControl.depthCmd,platform_propeller_rotation_rate,SpeedControl.propOmegaAction,platform_buoyancy_position,VerticalControl.buoyancyAction,platform_mass_position,VerticalControl.massPositionAction,platform_elevator_angle,VerticalControl.elevatorAngleAction,platform_pitch_angle,platform_rudder_angle,HorizontalControl.rudderAngleAction
2021-08-11T01:19:05.310Z,1628644745.310,0.000000 m,nan,0.000000 rad/s,0.000000 rad/s,nan,499.993561 cc,0.000000 m,0.000000 m,0.000000 arcdeg,nan,-0.055844 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T01:19:05.712Z,1628644745.712,0.000017 m,nan,0.000000 rad/s,31.415527 rad/s,nan,499.993561 cc,0.000000 m,0.000000 m,0.000000 arcdeg,0.671969 arcdeg,-0.160589 arcdeg,0.000000 arcdeg,9.000000 arcdeg
2021-08-11T01:19:06.113Z,1628644746.113,0.000134 m,nan,31.415527 rad/s,31.415527 rad/s,nan,499.993561 cc,0.000000 m,0.000000 m,0.671969 arcdeg,4.966066 arcdeg,-0.335693 arcdeg,3.010058 arcdeg,9.000000 arcdeg
2021-08-11T01:19:06.514Z,1628644746.514,0.000289 m,nan,31.415527 rad/s,31.415527 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,0.850295 arcdeg,4.966066 arcdeg,-0.542424 arcdeg,9.015057 arcdeg,9.000000 arcdeg
2021-08-11T01:19:06.915Z,1628644746.915,0.000432 m,nan,31.415527 rad/s,31.415527 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,5.531275 arcdeg,4.966066 arcdeg,-0.789111 arcdeg,9.015057 arcdeg,9.000000 arcdeg
2021-08-11T01:19:07.316Z,1628644747.316,0.000517 m,nan,31.415527 rad/s,31.415527 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,4.847795 arcdeg,4.966066 arcdeg,-1.053861 arcdeg,9.015057 arcdeg,9.000000 arcdeg
2021-08-11T01:19:07.717Z,1628644747.717,0.000489 m,nan,31.415527 rad/s,31.415527 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,4.958725 arcdeg,4.966066 arcdeg,-1.327794 arcdeg,9.015057 arcdeg,9.000000 arcdeg
2021-08-11T01:19:08.118Z,1628644748.118,0.000266 m,nan,31.415527 rad/s,31.415527 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,4.958725 arcdeg,4.966066 arcdeg,-1.620009 arcdeg,9.015057 arcdeg,9.000000 arcdeg
2021-08-11T01:19:08.519Z,1628644748.519,-0.000259 m,nan,31.415527 rad/s,31.415527 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,4.958725 arcdeg,4.966066 arcdeg,-1.948323 arcdeg,9.015057 arcdeg,9.000000 arcdeg
2021-08-11T01:19:08.920Z,1628644748.920,-0.001182 m,nan,31.415527 rad/s,31.415527 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,4.958725 arcdeg,4.966066 arcdeg,-2.323862 arcdeg,9.015057 arcdeg,9.000000 arcdeg
2021-08-11T01:19:09.321Z,1628644749.321,-0.002600 m,nan,31.415527 rad/s,31.415527 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,4.958725 arcdeg,4.966066 arcdeg,-2.743890 arcdeg,9.015057 arcdeg,9.000000 arcdeg
2021-08-11T01:19:09.722Z,1628644749.722,-0.004566 m,nan,31.415527 rad/s,31.415527 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,4.958725 arcdeg,4.966066 arcdeg,-3.201435 arcdeg,9.015057 arcdeg,9.000000 arcdeg
2021-08-11T01:19:10.123Z,1628644750.123,-0.007191 m,nan,31.415527 rad/s,31.415527 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,4.958725 arcdeg,4.966066 arcdeg,-3.679343 arcdeg,9.015057 arcdeg,9.000000 arcdeg
2021-08-11T01:19:10.524Z,1628644750.524,-0.010359 m,nan,31.415527 rad/s,31.415527 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,4.958725 arcdeg,4.966066 arcdeg,-4.167586 arcdeg,9.015057 arcdeg,9.000000 arcdeg
2021-08-11T01:19:10.925Z,1628644750.925,-0.014071 m,nan,31.415527 rad/s,31.415527 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,4.958725 arcdeg,4.966066 arcdeg,-4.659778 arcdeg,9.015057 arcdeg,9.000000 arcdeg
2021-08-11T01:19:11.326Z,1628644751.326,-0.018228 m,nan,31.415527 rad/s,31.415527 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,4.958725 arcdeg,4.449388 arcdeg,-5.153349 arcdeg,9.015057 arcdeg,9.000000 arcdeg
2021-08-11T01:19:11.726Z,1628644751.726,-0.022788 m,nan,31.415527 rad/s,31.415527 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,4.958725 arcdeg,4.449388 arcdeg,-5.601486 arcdeg,9.015057 arcdeg,9.000000 arcdeg
2021-08-11T01:19:12.128Z,1628644752.128,-0.027621 m,nan,31.415527 rad/s,31.415527 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,4.958725 arcdeg,4.449388 arcdeg,-6.044726 arcdeg,9.015057 arcdeg,9.000000 arcdeg
2021-08-11T01:19:12.529Z,1628644752.529,-0.032496 m,nan,31.415527 rad/s,31.415527 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,4.463313 arcdeg,4.449388 arcdeg,-6.487853 arcdeg,9.015057 arcdeg,9.000000 arcdeg
2021-08-11T01:19:12.930Z,1628644752.930,-0.037476 m,nan,31.415527 rad/s,31.415527 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,4.463313 arcdeg,4.449388 arcdeg,-6.934681 arcdeg,9.015057 arcdeg,9.000000 arcdeg
2021-08-11T01:19:13.331Z,1628644753.331,-0.042603 m,nan,31.415527 rad/s,31.415527 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,4.463313 arcdeg,4.449388 arcdeg,-7.384253 arcdeg,9.015057 arcdeg,9.000000 arcdeg
2021-08-11T01:19:13.732Z,1628644753.732,-0.047790 m,nan,31.415527 rad/s,31.415527 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,4.463313 arcdeg,6.721657 arcdeg,-0.740929 arcdeg,9.015057 arcdeg,9.000000 arcdeg
