Timestamp,EpochSeconds,depth,VerticalControl.depthCmd,platform_propeller_rotation_rate,SpeedControl.propOmegaAction,platform_buoyancy_position,VerticalControl.buoyancyAction,platform_mass_position,VerticalControl.massPositionAction,platform_elevator_angle,VerticalControl.elevatorAngleAction,platform_pitch_angle,platform_rudder_angle,HorizontalControl.rudderAngleAction
2021-08-11T02:12:31.200Z,1628647951.200,0.000000 m,nan,0.000000 rad/s,0.000000 rad/s,nan,499.993561 cc,0.000000 m,0.000000 m,0.000000 arcdeg,nan,-0.055844 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:12:31.600Z,1628647951.600,0.000014 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,nan,499.993561 cc,0.000000 m,0.000000 m,0.000000 arcdeg,0.000000 arcdeg,-0.160164 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:12:32.001Z,1628647952.001,0.000124 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,nan,499.993561 cc,0.000000 m,0.000000 m,0.000000 arcdeg,0.000000 arcdeg,-0.313031 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:12:32.402Z,1628647952.402,0.000270 m,10.000000 m,-0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,0.000054 arcdeg,0.000000 arcdeg,-0.507136 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:12:32.803Z,1628647952.803,0.000415 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,0.000054 arcdeg,0.000000 arcdeg,-0.735263 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:12:33.205Z,1628647953.205,0.000562 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.978668 cc,0.000000 m,0.000000 m,0.000054 arcdeg,0.000000 arcdeg,-0.992268 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:12:33.605Z,1628647953.605,0.000706 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.978668 cc,0.000000 m,0.000000 m,0.000054 arcdeg,0.000000 arcdeg,-1.270318 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:12:34.006Z,1628647954.006,0.000850 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.963745 cc,0.000000 m,0.000000 m,0.000054 arcdeg,0.000000 arcdeg,-1.562931 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:12:34.408Z,1628647954.408,0.000997 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.933960 cc,0.000000 m,0.000000 m,0.000054 arcdeg,0.000000 arcdeg,-1.864974 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:12:34.808Z,1628647954.808,0.001143 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.904144 cc,0.000000 m,0.000000 m,0.000054 arcdeg,0.000000 arcdeg,-2.169064 arcdeg,0.000000 arcdeg,0.000000 arcdeg
