Timestamp,EpochSeconds,depth,VerticalControl.depthCmd,platform_propeller_rotation_rate,SpeedControl.propOmegaAction,platform_buoyancy_position,VerticalControl.buoyancyAction,platform_mass_position,VerticalControl.massPositionAction,platform_elevator_angle,VerticalControl.elevatorAngleAction,platform_pitch_angle,platform_rudder_angle,HorizontalControl.rudderAngleAction
2021-08-11T01:41:23.601Z,1628646083.601,0.000000 m,nan,0.000000 rad/s,0.000000 rad/s,nan,499.993561 cc,0.000000 m,0.000000 m,0.000000 arcdeg,nan,-0.055844 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T01:41:24.002Z,1628646084.002,0.000015 m,nan,0.000000 rad/s,0.000000 rad/s,nan,499.993561 cc,0.000000 m,0.000000 m,0.000000 arcdeg,nan,-0.160785 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T01:41:24.403Z,1628646084.403,0.000126 m,nan,0.000000 rad/s,0.000000 rad/s,nan,499.993561 cc,0.000000 m,0.000000 m,0.000000 arcdeg,nan,-0.313873 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T01:41:24.804Z,1628646084.804,0.000275 m,nan,-0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,0.000000 arcdeg,nan,-0.507237 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T01:41:25.205Z,1628646085.205,0.000422 m,nan,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,0.000000 arcdeg,nan,-0.736392 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T01:41:25.606Z,1628646085.606,0.000572 m,nan,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,0.000000 arcdeg,nan,-0.992018 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T01:41:26.007Z,1628646086.007,0.000720 m,nan,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,0.000000 arcdeg,nan,-1.269580 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T01:41:26.408Z,1628646086.408,0.000868 m,nan,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,0.000000 arcdeg,nan,-1.563461 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T01:41:26.809Z,1628646086.809,0.001015 m,nan,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,0.000000 arcdeg,nan,-1.864917 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T01:41:27.209Z,1628646087.209,0.001161 m,nan,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,0.000000 arcdeg,nan,-2.168835 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T01:41:27.611Z,1628646087.611,0.001309 m,nan,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,0.000000 arcdeg,nan,-2.471173 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T01:41:28.012Z,1628646088.012,0.001456 m,nan,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,0.000000 arcdeg,nan,-2.765505 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T01:41:28.413Z,1628646088.413,0.001600 m,nan,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,0.000000 arcdeg,nan,-3.046277 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T01:41:28.814Z,1628646088.814,0.001747 m,nan,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,0.000000 arcdeg,nan,-3.313745 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T01:41:29.215Z,1628646089.215,0.001891 m,nan,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,0.000000 arcdeg,nan,-3.563524 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T01:41:29.616Z,1628646089.616,0.002037 m,nan,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,0.000000 arcdeg,nan,-3.791789 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T01:41:30.017Z,1628646090.017,0.002180 m,nan,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.993561 cc,0.000000 m,-0.004440 m,-0.000018 arcdeg,0.000000 arcdeg,-3.996408 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T01:41:30.418Z,1628646090.418,0.002323 m,nan,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.993561 cc,0.000000 m,-0.004440 m,-0.000018 arcdeg,0.000000 arcdeg,-4.031322 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T01:41:30.819Z,1628646090.819,0.002468 m,nan,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.993561 cc,0.000000 m,-0.004440 m,-0.000018 arcdeg,0.000000 arcdeg,-3.906961 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T01:41:31.220Z,1628646091.220,0.002626 m,nan,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.993561 cc,-0.000563 m,-0.004440 m,-0.000018 arcdeg,0.000000 arcdeg,-3.632458 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T01:41:31.621Z,1628646091.621,0.002809 m,nan,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.993561 cc,-0.000845 m,-0.004440 m,-0.000018 arcdeg,0.000000 arcdeg,-3.227227 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T01:41:32.022Z,1628646092.022,0.003025 m,nan,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.993561 cc,-0.001124 m,-0.004440 m,-0.000018 arcdeg,0.000000 arcdeg,-0.284380 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T01:41:32.423Z,1628646092.423,0.003286 m,nan,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.993561 cc,-0.001406 m,-0.004440 m,-0.000018 arcdeg,0.000000 arcdeg,-0.532821 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T01:41:32.824Z,1628646092.824,0.003594 m,nan,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.993561 cc,-0.001687 m,-0.005540 m,-0.000018 arcdeg,0.000000 arcdeg,-0.885679 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T01:41:33.225Z,1628646093.225,0.003950 m,nan,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.993561 cc,-0.001966 m,-0.005540 m,-0.000018 arcdeg,0.000000 arcdeg,-1.346026 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T01:41:33.626Z,1628646093.626,0.004356 m,nan,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.993561 cc,-0.002247 m,-0.005540 m,-0.000018 arcdeg,0.000000 arcdeg,-1.919866 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T01:41:34.027Z,1628646094.027,0.004808 m,nan,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.993561 cc,-0.002528 m,-0.005540 m,-0.000018 arcdeg,0.000000 arcdeg,-2.601392 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T01:41:34.428Z,1628646094.428,0.005298 m,nan,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.993561 cc,-0.002810 m,-0.006912 m,-0.000018 arcdeg,0.000000 arcdeg,-3.377755 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T01:41:34.829Z,1628646094.829,0.005813 m,nan,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.993561 cc,-0.003089 m,-0.006912 m,-0.000018 arcdeg,0.000000 arcdeg,-4.225602 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T01:41:35.230Z,1628646095.230,0.006349 m,nan,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.993561 cc,-0.003369 m,-0.006912 m,-0.000018 arcdeg,0.000000 arcdeg,-5.132322 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T01:41:35.631Z,1628646095.631,0.006894 m,nan,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.993561 cc,-0.003650 m,-0.008174 m,-0.000018 arcdeg,0.000000 arcdeg,-6.074888 arcdeg,0.000000 arcdeg,0.000000 arcdeg
