Timestamp,EpochSeconds,depth,VerticalControl.depthCmd,platform_propeller_rotation_rate,SpeedControl.propOmegaAction,platform_buoyancy_position,VerticalControl.buoyancyAction,platform_mass_position,VerticalControl.massPositionAction,platform_elevator_angle,VerticalControl.elevatorAngleAction,platform_pitch_angle,platform_rudder_angle,HorizontalControl.rudderAngleAction
2021-08-11T01:08:54.276Z,1628644134.276,0.000000 m,nan,0.000000 rad/s,31.415527 rad/s,nan,499.993561 cc,0.000000 m,0.000000 m,0.000000 arcdeg,0.702535 arcdeg,-0.055844 arcdeg,0.000000 arcdeg,9.000000 arcdeg
2021-08-11T01:08:58.134Z,1628644138.134,0.000000 m,nan,31.415527 rad/s,31.415527 rad/s,nan,499.993561 cc,0.000000 m,0.000000 m,0.029452 arcdeg,4.736495 arcdeg,-0.056403 arcdeg,0.029452 arcdeg,9.000000 arcdeg
2021-08-11T01:08:58.535Z,1628644138.535,-0.001725 m,nan,31.415527 rad/s,31.415527 rad/s,nan,499.993561 cc,0.000000 m,0.000000 m,3.022725 arcdeg,4.736495 arcdeg,-0.191582 arcdeg,3.022725 arcdeg,9.000000 arcdeg
2021-08-11T01:08:58.936Z,1628644138.936,-0.002833 m,nan,31.415527 rad/s,31.415527 rad/s,nan,499.993561 cc,0.000000 m,0.000000 m,4.736495 arcdeg,4.736495 arcdeg,-0.390061 arcdeg,6.033315 arcdeg,9.000000 arcdeg
2021-08-11T01:08:59.336Z,1628644139.336,-0.005331 m,nan,31.415527 rad/s,31.415527 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,4.619758 arcdeg,4.736495 arcdeg,-0.629402 arcdeg,8.999698 arcdeg,9.000000 arcdeg
2021-08-11T01:08:59.738Z,1628644139.738,-0.009008 m,nan,31.415527 rad/s,31.415527 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,4.731357 arcdeg,4.736495 arcdeg,-0.886701 arcdeg,8.999698 arcdeg,9.000000 arcdeg
2021-08-11T01:09:00.139Z,1628644140.139,-0.013634 m,nan,31.415527 rad/s,31.415527 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,4.731357 arcdeg,4.736495 arcdeg,-1.155318 arcdeg,8.999698 arcdeg,9.000000 arcdeg
2021-08-11T01:09:00.540Z,1628644140.540,-0.019039 m,nan,31.415527 rad/s,31.415527 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,4.731357 arcdeg,4.736495 arcdeg,-1.442253 arcdeg,8.999698 arcdeg,9.000000 arcdeg
2021-08-11T01:09:00.941Z,1628644140.941,-0.024849 m,nan,31.415527 rad/s,31.415527 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,4.731357 arcdeg,4.736495 arcdeg,-1.763773 arcdeg,8.999698 arcdeg,9.000000 arcdeg
2021-08-11T01:09:01.342Z,1628644141.342,-0.030930 m,nan,31.415527 rad/s,31.415527 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,4.731357 arcdeg,4.736495 arcdeg,-2.130186 arcdeg,8.999698 arcdeg,9.000000 arcdeg
